Algorithm,DataType,Size,TimeMicroseconds,Comparisons
MSDRadixSortWithCutoff,ReverseSorted,2200,3181.1,33624
StandardQuickSort,ReverseSorted,2300,1618.3,35166
StandardMergeSort,ReverseSorted,2300,2795.8,17165
TernaryQuickSort,ReverseSorted,2300,6186.4,91422
StringMergeSort,ReverseSorted,2300,27098.4,8994
MSDRadixSort,ReverseSorted,2300,4516.6,0
MSDRadixSortWithCutoff,ReverseSorted,2300,3312.4,35195
StandardQuickSort,ReverseSorted,2400,1684.7,36254
StandardMergeSort,ReverseSorted,2400,2942,17974
TernaryQuickSort,ReverseSorted,2400,6736.6,98832
StringMergeSort,ReverseSorted,2400,28353.1,9537
MSDRadixSort,ReverseSorted,2400,4666.5,0
MSDRadixSortWithCutoff,ReverseSorted,2400,3447.2,36921
StandardQuickSort,ReverseSorted,2500,1758.9,37672
StandardMergeSort,ReverseSorted,2500,3047,18765
TernaryQuickSort,ReverseSorted,2500,7191.5,107127
StringMergeSort,ReverseSorted,2500,29392.4,9755
MSDRadixSort,ReverseSorted,2500,4882.1,0
MSDRadixSortWithCutoff,ReverseSorted,2500,3652.7,38459
StandardQuickSort,ReverseSorted,2600,1806.4,39000
StandardMergeSort,ReverseSorted,2600,3165,19620
TernaryQuickSort,ReverseSorted,2600,7713.2,113422
StringMergeSort,ReverseSorted,2600,30652.1,10164
MSDRadixSort,ReverseSorted,2600,5125.8,0
MSDRadixSortWithCutoff,ReverseSorted,2600,3840.1,40087
StandardQuickSort,ReverseSorted,2700,1906.1,40293
StandardMergeSort,ReverseSorted,2700,3300.1,20603
TernaryQuickSort,ReverseSorted,2700,8530.8,124561
StringMergeSort,ReverseSorted,2700,31823.7,10786
MSDRadixSort,ReverseSorted,2700,5225.5,0
MSDRadixSortWithCutoff,ReverseSorted,2700,3976.3,41877
StandardQuickSort,ReverseSorted,2800,1982.3,41612
StandardMergeSort,ReverseSorted,2800,3401.3,21277
TernaryQuickSort,ReverseSorted,2800,8936.9,131242
StringMergeSort,ReverseSorted,2800,32980.2,11362
MSDRadixSort,ReverseSorted,2800,5440.3,0
MSDRadixSortWithCutoff,ReverseSorted,2800,4203.1,43444
StandardQuickSort,ReverseSorted,2900,2062.2,43080
StandardMergeSort,ReverseSorted,2900,3577,22147
TernaryQuickSort,ReverseSorted,2900,9616.6,138621
StringMergeSort,ReverseSorted,2900,34057.9,11525
MSDRadixSort,ReverseSorted,2900,5619,0
MSDRadixSortWithCutoff,ReverseSorted,2900,4318.8,45110
StandardQuickSort,ReverseSorted,3000,2104.5,44295
StandardMergeSort,ReverseSorted,3000,3662.1,23029
TernaryQuickSort,ReverseSorted,3000,10110.2,147608
StringMergeSort,ReverseSorted,3000,34566.5,11995
MSDRadixSort,ReverseSorted,3000,5777.1,0
MSDRadixSortWithCutoff,ReverseSorted,3000,4316.6,46859
StandardQuickSort,AlmostSorted,100,56.65,1138
StandardMergeSort,AlmostSorted,100,71.9,709
TernaryQuickSort,AlmostSorted,100,47.25,751
StringMergeSort,AlmostSorted,100,760.65,352
MSDRadixSort,AlmostSorted,100,168.65,0
MSDRadixSortWithCutoff,AlmostSorted,100,79.75,619
StandardQuickSort,AlmostSorted,200,111.55,2314
StandardMergeSort,AlmostSorted,200,159.7,1628
TernaryQuickSort,AlmostSorted,200,116.85,1753
StringMergeSort,AlmostSorted,200,1727.35,741
MSDRadixSort,AlmostSorted,200,364.9,0
MSDRadixSortWithCutoff,AlmostSorted,200,171.75,1340
StandardQuickSort,AlmostSorted,300,179.1,3968
StandardMergeSort,AlmostSorted,300,282.95,2795
TernaryQuickSort,AlmostSorted,300,190.3,2911
StringMergeSort,AlmostSorted,300,2846,1181
MSDRadixSort,AlmostSorted,300,519,0
MSDRadixSortWithCutoff,AlmostSorted,300,261.15,1951
StandardQuickSort,AlmostSorted,400,232.4,4826
StandardMergeSort,AlmostSorted,400,376.7,3605
TernaryQuickSort,AlmostSorted,400,287,4308
StringMergeSort,AlmostSorted,400,3826.15,1492
MSDRadixSort,AlmostSorted,400,710.7,0
MSDRadixSortWithCutoff,AlmostSorted,400,342.3,2578
StandardQuickSort,AlmostSorted,500,286.05,5766
StandardMergeSort,AlmostSorted,500,493.1,4829
TernaryQuickSort,AlmostSorted,500,411.4,6013
StringMergeSort,AlmostSorted,500,4721.6,1903
MSDRadixSort,AlmostSorted,500,853.2,0
MSDRadixSortWithCutoff,AlmostSorted,500,433.1,3246
StandardQuickSort,AlmostSorted,600,373.3,8157
StandardMergeSort,AlmostSorted,600,586,5808
TernaryQuickSort,AlmostSorted,600,545.9,8014
StringMergeSort,AlmostSorted,600,6179.8,2274
MSDRadixSort,AlmostSorted,600,1042.7,0
MSDRadixSortWithCutoff,AlmostSorted,600,523.1,3916
StandardQuickSort,AlmostSorted,700,471.7,9947
StandardMergeSort,AlmostSorted,700,692.8,6860
TernaryQuickSort,AlmostSorted,700,707.1,10378
StringMergeSort,AlmostSorted,700,7228.7,2567
MSDRadixSort,AlmostSorted,700,1242.6,0
MSDRadixSortWithCutoff,AlmostSorted,700,616.4,4616
StandardQuickSort,AlmostSorted,800,652.6,12806
StandardMergeSort,AlmostSorted,800,787.8,7908
TernaryQuickSort,AlmostSorted,800,904.6,13214
StringMergeSort,AlmostSorted,800,8234,3002
MSDRadixSort,AlmostSorted,800,1430.8,0
MSDRadixSortWithCutoff,AlmostSorted,800,698.5,5252
StandardQuickSort,AlmostSorted,900,898.1,16143
StandardMergeSort,AlmostSorted,900,1031.5,9783
TernaryQuickSort,AlmostSorted,900,1118,16279
StringMergeSort,AlmostSorted,900,9248,3405
MSDRadixSort,AlmostSorted,900,1633,0
MSDRadixSortWithCutoff,AlmostSorted,900,787.3,5973
StandardQuickSort,AlmostSorted,1000,1042.1,18564
StandardMergeSort,AlmostSorted,1000,1143.4,10678
TernaryQuickSort,AlmostSorted,1000,1353.4,19626
StringMergeSort,AlmostSorted,1000,10150.2,3783
MSDRadixSort,AlmostSorted,1000,1806.1,0
MSDRadixSortWithCutoff,AlmostSorted,1000,896.7,6704
StandardQuickSort,AlmostSorted,1100,872,18094
StandardMergeSort,AlmostSorted,1100,1257,11888
TernaryQuickSort,AlmostSorted,1100,1598.7,23202
StringMergeSort,AlmostSorted,1100,12243.4,4138
MSDRadixSort,AlmostSorted,1100,1982.8,0
MSDRadixSortWithCutoff,AlmostSorted,1100,978.9,7360
StandardQuickSort,AlmostSorted,1200,1032.7,21308
StandardMergeSort,AlmostSorted,1200,1385.2,12986
TernaryQuickSort,AlmostSorted,1200,1764.8,25561
StringMergeSort,AlmostSorted,1200,13251.4,4521
MSDRadixSort,AlmostSorted,1200,2213.7,0
MSDRadixSortWithCutoff,AlmostSorted,1200,1071.1,8036
StandardQuickSort,AlmostSorted,1300,1198.7,24122
StandardMergeSort,AlmostSorted,1300,1474.7,13675
TernaryQuickSort,AlmostSorted,1300,1946.3,28234
StringMergeSort,AlmostSorted,1300,14398.7,4706
MSDRadixSort,AlmostSorted,1300,2406.1,0
MSDRadixSortWithCutoff,AlmostSorted,1300,1146.5,8656
StandardQuickSort,AlmostSorted,1400,1530.2,27695
StandardMergeSort,AlmostSorted,1400,1607.1,15112
TernaryQuickSort,AlmostSorted,1400,2139.9,31172
StringMergeSort,AlmostSorted,1400,15471.1,5156
MSDRadixSort,AlmostSorted,1400,2558.5,0
MSDRadixSortWithCutoff,AlmostSorted,1400,1271.9,9372
StandardQuickSort,AlmostSorted,1500,1705.2,30563
StandardMergeSort,AlmostSorted,1500,1734.7,16417
TernaryQuickSort,AlmostSorted,1500,2378.6,34539
StringMergeSort,AlmostSorted,1500,16732.3,5665
MSDRadixSort,AlmostSorted,1500,2755.4,0
MSDRadixSortWithCutoff,AlmostSorted,1500,1339.1,10014
StandardQuickSort,AlmostSorted,1600,1759.1,31832
StandardMergeSort,AlmostSorted,1600,1849.9,17599
TernaryQuickSort,AlmostSorted,1600,2647.5,38324
StringMergeSort,AlmostSorted,1600,17600.7,6026
MSDRadixSort,AlmostSorted,1600,2992.7,0
MSDRadixSortWithCutoff,AlmostSorted,1600,1436.5,10752
StandardQuickSort,AlmostSorted,1700,1914.1,34726
StandardMergeSort,AlmostSorted,1700,1972.2,18906
TernaryQuickSort,AlmostSorted,1700,2903.9,42038
StringMergeSort,AlmostSorted,1700,18737.8,6416
MSDRadixSort,AlmostSorted,1700,3138.8,0
MSDRadixSortWithCutoff,AlmostSorted,1700,1534.4,11442
StandardQuickSort,AlmostSorted,1800,2178.2,38954
